Año,Papalotla de Xicohténcatl,Mazatecochco de José María Morelos,Tenancingo,Santa Catarina Ayometla
1990,63,24,40,
1991,68,42,48,
1992,82,33,48,
1993,69,38,57,
1994,98,31,43,
1995,76,35,57,
1996,78,32,48,20.0
1997,91,29,53,33.0
1998,83,41,46,31.0
1999,90,28,37,26.0
2000,90,33,45,24.0
2001,103,38,40,34.0
2002,69,38,45,32.0
2003,91,45,46,33.0
2004,99,44,47,28.0
2005,95,23,51,29.0
2006,104,50,56,24.0
2007,115,50,45,42.0
2008,98,40,54,35.0
2009,107,38,68,39.0
2010,113,52,38,40.0
2011,127,39,66,46.0
2012,126,51,58,51.0
2013,114,58,69,48.0
2014,108,44,56,36.0
2015,109,56,38,47.0
2016,113,66,63,50.0
2017,120,64,58,35.0
2018,92,64,80,44.0
2019,119,61,65,39.0
2020,180,117,125,83.0
